zk_version      v26.3.9.8-lts-0d82c1998e3b4d54e110dd8a77a64d247c4bff4a
zk_avg_latency  0
zk_max_latency  0
zk_min_latency  0
zk_packets_received     0
zk_packets_sent 0
zk_num_alive_connections        0
zk_outstanding_requests 0
zk_server_state leader
zk_znode_count  4
zk_watch_count  0
zk_ephemerals_count     0
zk_approximate_data_size        547
zk_key_arena_size       0
zk_latest_snapshot_size 0
zk_open_file_descriptor_count   72
zk_max_file_descriptor_count    1048576
zk_learners     2
zk_followers    2
zk_synced_followers     2
zk_synced_non_voting_followers  0
